Principal Component,Explained Variance Ratio,Cumulative Variance Ratio
PC197,0.00030434848357972023,0.9965720690437664
PC198,0.00029564974557013107,0.9968677187893366
PC199,0.000279921990459449,0.997147640779796
PC200,0.00025723825067407006,0.99740487903047
PC201,0.00024962176898749494,0.9976545007994575
PC202,0.00022859631165142092,0.9978830971111089
PC203,0.0002229387725231674,0.9981060358836321
PC204,0.0001992913539141506,0.9983053272375463
PC205,0.00019529480413888378,0.9985006220416852
PC206,0.00018495987829044157,0.9986855819199757
PC207,0.00015862310843980365,0.9988442050284155
PC208,0.00015582543492566773,0.9990000304633412
PC209,0.0001348034234036896,0.9991348338867448
PC210,0.00012136256092807694,0.9992561964476729
PC211,0.00011642784440714902,0.9993726242920801
PC212,9.926376251553166e-05,0.9994718880545956
PC213,9.328581009640444e-05,0.999565173864692
PC214,7.389281484491792e-05,0.999639066679537
PC215,6.443753527354778e-05,0.9997035042148105
PC216,5.7447228277326526e-05,0.9997609514430877
PC217,5.19342598572704e-05,0.999812885702945
PC218,4.4152695489244815e-05,0.9998570383984343
PC219,3.228308648724602e-05,0.9998893214849216
PC220,2.901770747412279e-05,0.9999183391923957
PC221,2.557468352731698e-05,0.999943913875923
PC222,2.04753689094314e-05,0.9999643892448324
PC223,1.037714817213409e-05,0.9999747663930045
PC224,8.9126597234725e-06,0.999983679052728
PC225,4.2778958140244255e-06,0.999987956948542
PC226,3.404044673013408e-06,0.9999913609932151
PC227,3.2323163736726928e-06,0.9999945933095887
PC228,2.2675204331405586e-06,0.9999968608300218
PC229,2.148052018118623e-06,0.99999900888204
PC230,8.002660286082767e-07,0.9999998091480685
PC231,1.3374269906947812e-07,0.9999999428907675
PC232,3.643525158587275e-08,0.9999999793260191
PC233,2.0673980699660478e-08,0.9999999999999999
PC234,2.013937327690273e-32,0.9999999999999999
PC235,4.05629452690049e-33,0.9999999999999999
PC236,5.725959280987382e-34,0.9999999999999999
PC237,4.768534966980074e-34,0.9999999999999999
PC238,4.768534966980074e-34,0.9999999999999999
PC239,4.768534966980074e-34,0.9999999999999999
PC240,4.768534966980074e-34,0.9999999999999999
PC241,4.3537434039033486e-34,0.9999999999999999
