,PC1
SMQ874,-0.005185278513680224
LBXLYPCT,-0.005164365235670284
IMQ020,-0.005137606813581955
DLQ010,0.005054242741245583
LBXWBCSI,-0.00482307070570739
PEASCTM1,-0.00473731324581546
MCQ010,0.004694275338920421
BMXWAIST,-0.004315979058763551
PHQ030,0.004234607421678589
LBDNENO,-0.004205576938316053
INQ150,-0.004136427420624827
FIAPROXY,0.004044731796451991
DRDINT,0.004000572800543223
DMDHHSIZ,0.0039826543148203716
MCQ203,-0.0038016921851151773
LBXMPSI,-0.003703701858068212
BPXPULS,-0.003616328083371077
HEQ030,-0.0035888303086044717
MCQ092,0.0035120218492415327
LBDMONO,0.0031070298897306245
CBD070,0.0030303077635058825
LBXBAPCT,-0.002589036792557319
DR1DAY,0.0025619048031218575
IMQ011,-0.002536537019760308
HUQ030,0.002373365425520846
SDMVPSU,0.0023494500715593317
HIQ011,-0.002286158319766032
HIQ210,0.0021795587625561296
HSQ520,-0.00216340388537674
MCQ086,0.0021055910578236282
PHQ060,-0.0019060882338184993
RIDRETH1,-0.001844471027161697
DMDCITZN,-0.0017828913407017205
HUQ020,-0.0015460198521255544
RIDEXMON,0.0010603022198841172
LBXNEPCT,0.0009296166707241669
DMDHRBR4,0.0008815164048097017
PHQ050,0.0008236934433205245
RIDRETH3,-0.0006829795406964129
DR1EXMER,-0.0006425485097942829
OHDDESTS,-0.0006122454546379074
PHAFSTMN.x,0.00035918406828800266
HSQ500,0.00010273235562449284
DR1DRSTZ,2.9282838991902225e-18
DRABF,-0.0
SDDSRVYR,-0.0
RIDSTATR,-0.0
HSAQUEX,-0.0
SMQ870,-0.0
