Principal Component,Explained Variance Ratio,Cumulative Variance Ratio
PC152,0.0013980770363691299,0.960243867735672
PC153,0.0013631165129625107,0.9616069842486346
PC154,0.0013259060186154663,0.96293289026725
PC155,0.0013006074908485906,0.9642334977580986
PC156,0.0012929332741236578,0.9655264310322222
PC157,0.0012590644695034238,0.9667854955017257
PC158,0.0012050091533308198,0.9679905046550564
PC159,0.0011960956324018365,0.9691866002874583
PC160,0.001157376035399722,0.970343976322858
PC161,0.0011453363578180899,0.9714893126806761
PC162,0.0011267794655250244,0.972616092146201
PC163,0.0011138119665328198,0.9737299041127339
PC164,0.0010760498010244164,0.9748059539137582
PC165,0.0010350805095621675,0.9758410344233204
PC166,0.0010327655013547298,0.9768737999246752
PC167,0.0010137833791801114,0.9778875833038553
PC168,0.000977482422794392,0.9788650657266497
PC169,0.000951424014321091,0.9798164897409708
PC170,0.0009415493365833392,0.9807580390775541
PC171,0.0008967354699466862,0.9816547745475008
PC172,0.000877451923469781,0.9825322264709706
PC173,0.0008243481075485145,0.9833565745785191
PC174,0.0008037830252560838,0.9841603576037752
PC175,0.0007333213299347874,0.9848936789337099
PC176,0.0007103447839296497,0.9856040237176396
PC177,0.00070109108770496,0.9863051148053446
PC178,0.0006776080655461156,0.9869827228708906
PC179,0.0006647095651854362,0.987647432436076
PC180,0.0006452576944315425,0.9882926901305076
PC181,0.0006124006244189519,0.9889050907549265
PC182,0.0005983019773660383,0.9895033927322925
PC183,0.0005853825425517879,0.9900887752748443
PC184,0.0005599353855507868,0.9906487106603951
PC185,0.0005477221730414928,0.9911964328334365
PC186,0.0005167168794965564,0.991713149712933
PC187,0.0005097675765360915,0.9922229172894691
PC188,0.0004954642797034331,0.9927183815691726
PC189,0.00048492150229482935,0.9932033030714674
PC190,0.0004733811006733952,0.9936766841721408
PC191,0.00042874746159455256,0.9941054316337354
PC192,0.00041284705747460617,0.99451827869121
PC193,0.0004098216159640827,0.994928100307174
PC194,0.0003693095366689468,0.995297409843843
PC195,0.0003498642477110877,0.9956472740915541
PC196,0.0003285550684440974,0.9959758291599982
PC197,0.00030782591347416357,0.9962836550734723
PC198,0.0003028695345356418,0.9965865246080079
PC199,0.0002945068100525745,0.9968810314180605
PC200,0.0002785912151360221,0.9971596226331966
PC201,0.00025610098033728253,0.9974157236135338
PC202,0.00024827694124229056,0.9976640005547761
PC203,0.00022768960809517677,0.9978916901628713
PC204,0.0002220823591409829,0.9981137725220123
PC205,0.00019852950750538564,0.9983123020295177
PC206,0.000194402384877316,0.998506704414395
PC207,0.00018422944743267804,0.9986909338618277
PC208,0.00015797238674347225,0.9988489062485711
PC209,0.00015520311370101578,0.9990041093622721
PC210,0.0001342776319469838,0.9991383869942191
PC211,0.00012086239831202458,0.9992592493925311
PC212,0.00011597043568242234,0.9993752198282135
PC213,9.8882189769439e-05,0.9994741020179829
PC214,9.287832082765302e-05,0.9995669803388105
PC215,7.35645074651774e-05,0.9996405448462757
PC216,6.418765425147973e-05,0.9997047325005273
PC217,5.722209212924324e-05,0.9997619545926565
PC218,5.173355782202228e-05,0.9998136881504786
PC219,4.395337543816798e-05,0.9998576415259167
PC220,3.215105291398016e-05,0.9998897925788307
PC221,2.8903566866483682e-05,0.9999186961456972
PC222,2.5477095495949727e-05,0.9999441732411931
PC223,2.0375921587215853e-05,0.9999645491627803
PC224,1.0320880517513355e-05,0.9999748700432979
PC225,8.877561613569079e-06,0.9999837476049115
PC226,4.259992454398889e-06,0.9999880075973658
PC227,3.391053456047556e-06,0.9999913986508219
PC228,3.21921599255304e-06,0.9999946178668144
PC229,2.2569335079135755e-06,0.9999968748003223
PC230,2.1388755439533067e-06,0.9999990136758662
PC231,7.96250910338154e-07,0.9999998099267765
PC232,1.3322696022551733e-07,0.9999999431537367
PC233,3.625969408331993e-08,0.9999999794134309
PC234,2.058656889689848e-08,0.9999999999999998
PC235,2.0101262127120024e-32,0.9999999999999998
PC236,2.055826071611093e-33,0.9999999999999998
PC237,4.779044140841397e-34,0.9999999999999998
PC238,4.779044140841397e-34,0.9999999999999998
PC239,4.779044140841397e-34,0.9999999999999998
PC240,4.779044140841397e-34,0.9999999999999998
PC241,4.361506275963587e-34,0.9999999999999998
PC242,4.180455502561601e-34,0.9999999999999998
